HomeTeam,AwayTeam,Date,h2h_avg_goals_total,h2h_over25_ratio
Aston Villa,Wolves,2024-03-30,,
Tottenham,Luton,2024-03-30,,
Brentford,Man United,2024-03-30,,
Sheffield United,Fulham,2024-03-30,,
Bournemouth,Everton,2024-03-30,2.0,0.5
Nott'm Forest,Crystal Palace,2024-03-30,2.0,0.0
Chelsea,Burnley,2024-03-30,3.0,0.6666666666666666
Newcastle,West Ham,2024-03-30,,
Liverpool,Brighton,2024-03-31,3.0,0.6666666666666666
Man City,Arsenal,2024-03-31,3.3333333333333335,0.6666666666666666
Newcastle,Sheffield United,2024-04-27,,
Man United,Burnley,2024-04-27,3.0,0.5
Aston Villa,Chelsea,2024-04-27,3.3333333333333335,0.6666666666666666
Everton,Brentford,2024-04-27,1.3333333333333333,0.0
West Ham,Liverpool,2024-04-27,3.5,1.0
Wolves,Luton,2024-04-27,,
Fulham,Crystal Palace,2024-04-27,1.6666666666666667,0.3333333333333333
Tottenham,Arsenal,2024-04-28,4.5,1.0
Nott'm Forest,Man City,2024-04-28,4.0,0.5
Bournemouth,Brighton,2024-04-28,,
