feature,importance
goals_vs_weak_away,0.044961512
shots_vs_average_away,0.03927697
shots_on_vs_weak_home,0.038803846
goals_vs_average_home,0.038686126
shots_on_vs_average_away,0.037393622
shots_vs_weak_home,0.037375975
goals_vs_weak_home,0.03680727
shots_vs_strong_away,0.03544737
goals_vs_strong_home,0.035282627
goals_vs_average_away,0.0349098
shots_vs_strong_home,0.034868028
efficiency_vs_average_away,0.034371477
efficiency_vs_weak_away,0.03435924
goals_vs_strong_away,0.034344185
conversion_vs_strong_home,0.034034424
shots_vs_weak_away,0.03300744
efficiency_vs_average_home,0.032657743
efficiency_vs_strong_away,0.032003686
shots_vs_average_home,0.031095436
conversion_vs_weak_away,0.031059427
shots_on_vs_weak_away,0.03068375
shots_on_vs_average_home,0.030605983
conversion_vs_average_home,0.030553743
conversion_vs_weak_home,0.029782407
conversion_vs_strong_away,0.029554773
conversion_vs_average_away,0.028690282
shots_on_vs_strong_home,0.027892428
shots_on_vs_strong_away,0.027760284
efficiency_vs_strong_home,0.027699977
efficiency_vs_weak_home,0.026030246
